Project_Description,Budget,Website,GitHub Url,Twitter Url
webpack is THE build solution for modern web applications.,"$386,647",http://webpack.js.org/,,https://twitter.com/webpack
Babel is a compiler for writing next generation JavaScript,"$289,049",https://babeljs.io/,https://github.com/babel,https://twitter.com/babeljs
Développement d'outils de communication et d'organisation basés sur le protocole Secure-Scuttlebutt (SSB) en France,"€85,106",https://assoaccess.fr/fr/,,
WWCode is a non-profit organization that inspires women to excel in technology careers.,"$146,204",https://twitter.com/wwcodeatl,,https://twitter.com/wwcodeatl
,"€131,194",http://www.codenplay.be/,,
WWCode is a global non-profit organization dedicated,"$117,384",http://womenwhocode.com/,,https://twitter.com/wwcode
React components that implement Google's Material Design.,"$100,229",https://github.com/mui-org/material-ui,,https://twitter.com/MaterialUI
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"MX$54,534",http://womenwhocode.com/merida,,https://twitter.com/wwcodemid
This is the Open Source Collective. Consider supporting the open source projects directly or become a member of the Open Source Collective and support all projects.,"$67,482",,,
Sustain Summit 2018: A one-day event for Open Source sustainers,"$49,544",https://sustainoss.org/,,https://twitter.com/sustainoss
"A collectively-governed fund for the e-NABLE community, administered by Rochester e-NABLE Limited","$34,362",,,
,"MX$23,829",,,
"A global community exploring technology as a catalyst for psychological, emotional and spiritual flourishing.","$14,865",http://www.meetup.com/Consciousness-Hacking-San-Francisco/,,https://twitter.com/consciousnesshack
3kb alternative to React with the same ES6 API.,"$28,305",https://preactjs.com/,,https://twitter.com/preactjs
Women Who Code is the largest and most active global community of engineers dedicated to inspiring women to excel in technology careers.,"$27,985",https://www.womenwhocode.com/portland,,https://twitter.com/WWCodePortland
A progressive NodeJS framework for building efficient and scalable server-side applications,"$33,193",https://github.com/nestjs/nest,,https://twitter.com/nestframework
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"CA$15,565",http://www.womenwhocode.com/toronto,,https://twitter.com/WomenWhoCodeTO
,"$36,053",https://github.com/vuejs/vue,,https://twitter.com/vuejs
Next Generation Web Apps,"$38,625",http://aurelia.io/,,https://twitter.com/AureliaEffect
Perkeep is your personal storage system for life.,"$31,800",https://perkeep.org/,,https://twitter.com/PerkeepOrg
A reasonably secure operating system,"$16,840",https://www.qubes-os.org/,,https://twitter.com/QubesOS
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$12,889",,,
"simple, flexible, fun javascript test framework for node.js & the browser.","$15,930",http://mochajs.org/,,
Beaker is an experimental Web browser with a peer-to-peer protocol for building decentralized websites and apps.,"$26,780",https://github.com/beakerbrowser/beaker,,https://twitter.com/BeakerBrowser
El mejor evento de JavaScript de la ciudad.,"MX$9,252",http://www.meetup.com/Guadalajara-JS/,,https://twitter.com/gdl_js
