Project Name,No of Backers,Project Link
webpack,902,https://opencollective.com/webpack
Babel,362,https://opencollective.com/babel
ACCESS,2,https://opencollective.com/access
Women Who Code Atlanta,20,https://opencollective.com/wwcodeatl
CodeNPlay,28,https://opencollective.com/codenplay
Women Who Code,75,https://opencollective.com/wwcode
Material-UI,62,https://opencollective.com/material-ui
WWCode Merida,3,https://opencollective.com/wwcodemerida
Open Source Collective,57,https://opencollective.com/opensource
Sustain,121,https://opencollective.com/sustainoss
The e-NABLE Fund,3,https://opencollective.com/enablefund
Women Who Code Monterrey,1,https://opencollective.com/wwcodemonterrey
Consciousness Hacking SF,469,https://opencollective.com/chsf
Preact,105,https://opencollective.com/preact
WWCode Portland,26,https://opencollective.com/wwcodeportland
nest,101,https://opencollective.com/nest
WWCode Toronto,6,https://opencollective.com/wwcodetoronto
vue,154,https://opencollective.com/vuejs
Aurelia,85,https://opencollective.com/aurelia
Perkeep,25,https://opencollective.com/perkeep
Qubes OS,259,https://opencollective.com/qubes-os
WWCode Austin,41,https://opencollective.com/wwcodeaustin
MochaJS,118,https://opencollective.com/mochajs
Beaker Browser,73,https://opencollective.com/beaker
Guadalajara JS,16,https://opencollective.com/gdljs
WWCode Seattle,8,https://opencollective.com/wwcodeseattle
TalkWellington,16,https://opencollective.com/korerowellington
Women Who Code Vancouver,9,https://opencollective.com/wwcodevancouver
Nuxt.js,135,https://opencollective.com/nuxtjs
GulpJS,89,https://opencollective.com/gulpjs
Vegan Brussels,85,https://opencollective.com/veganbrussels
phalcon,56,https://opencollective.com/phalcon
RubyTogether,10,https://opencollective.com/rubytogether
FeathersJS,27,https://opencollective.com/feathers
WWCode Silicon Valley,6,https://opencollective.com/wwcodesv
WWCode Colima,1,https://opencollective.com/wwcodecolima
Destiny Item Manager,475,https://opencollective.com/dim
Rochester e-NABLE Lab,3,https://opencollective.com/renablelab
Cloudflare Collective,1,https://opencollective.com/cloudflarecollective
JHipster,65,https://opencollective.com/generator-jhipster
Storybook,49,https://opencollective.com/storybook
universalviewer,1,https://opencollective.com/universalviewer
Women Who Code Manila,9,https://opencollective.com/wwcodemanila
erxes Inc,39,https://opencollective.com/erxes
Dokku,93,https://opencollective.com/dokku
Ruby Together OSC,32,https://opencollective.com/ruby-together-osc
Rollup,1,https://opencollective.com/rollup
WWCode Belfast,1,https://opencollective.com/wwcodebelfast
PNW Drupal Summit,24,https://opencollective.com/pnw-drupal-summit
Rails Girls Atlanta,$988,https://opencollective.com/railsgirlsatl
react-boilerplate,28,https://opencollective.com/react-boilerplate
mobx,50,https://opencollective.com/mobx
Technovation México,8,https://opencollective.com/technovationmx
Cycle.js,77,https://opencollective.com/cyclejs
ngrx,61,https://opencollective.com/ngrx
RuboCop,32,https://opencollective.com/rubocop
WWCode Taipei,5,https://opencollective.com/wwcodetaipei
Burlington Code,11,https://opencollective.com/burlington-code
Helium Grant,41,https://opencollective.com/heliumgrant_test
electron,23,https://opencollective.com/electron
ParsePlatform,17,https://opencollective.com/parse-server
Open Collective Europe,41,https://opencollective.com/europe-collective
Jekyll,14,https://opencollective.com/jekyll
Jest,11,https://opencollective.com/jest
WWCode Twin Cities,69,https://opencollective.com/wwcodetwincities
Bower,46,https://opencollective.com/bower
Gatsby,€0,https://opencollective.com/gatsby
Be Coworking,7,https://opencollective.com/becoworking
WWCode New York,1,https://opencollective.com/wwcodenyc
